Purchase Order,Vendor,Receipt ID,Vendor Invoice ID,Item,Unit,SKU,Barcode,Vendor Item ID,Date,Cost/Unit,Total Quantity,Total Cost,Shipping&Handling,Taxes,Misc Costs,Total Costs,Correction ID,Delta,Remarks
899,Cropthorne Farm,794,592,"Cabbage, Green Organic - Cropthorne Farm",KG,1-0001148,1E+11,,01/02/19,2.5,30,75,,,,,,,
899,Cropthorne Farm,794,592,"Cabbage, Red Organic - Cropthorne Farm",KG,1-0001149,1E+11,,01/02/19,2.5,30,75,,,,,,,
899,Cropthorne Farm,794,592,"Carrot, Orange Organic - Cropthorne Farm",KG,1-0001150,1E+11,,01/02/19,3,20,60,,,,,,,
899,Cropthorne Farm,794,592,"Carrot, Rainbow Organic - Cropthorne Farm",KG,1-0001151,1E+11,,01/02/19,3.25,20,65,,,,,,,
899,Cropthorne Farm,794,592,"Kohlrabi, Organic - Cropthorne Farm",KG,1-0001152,1E+11,,01/02/19,2.5,10,25,,,,,,,
899,Cropthorne Farm,794,592,"Potato, Chieftain Organic - Cropthorne Farm",KG,1-0001153,1E+11,,01/02/19,2.75,20,55,,,,,,,
899,Cropthorne Farm,794,592,"Potato, Kennebec Organic - Cropthorne Farm",KG,1-0001154,1E+11,,01/02/19,2.75,20,55,,,,,,,
899,Cropthorne Farm,794,592,"Potato, Yukon Organic - Cropthorne Farm",KG,1-0001155,1E+11,,01/02/19,2.75,20,55,,,,,,,
900,Lakehouse Foods,,,,,,,,01/02/19,,9,225,0,0,0,0,,,
900,Lakehouse Foods,795,1026,,,,,,01/02/19,,9,225,,,,,,,
900,Lakehouse Foods,795,1026,"Crackers, Spelt & Sesame - Lakehouse Foods",KG,1-0000288,1E+11,,01/02/19,25,4,100,,,,,,,
900,Lakehouse Foods,795,1026,"Crackers, Rye & Caraway - Lakehouse Foods",KG,1-0000287,1E+11,,01/02/19,25,1,25,,,,,,,
900,Lakehouse Foods,795,1026,"Crackers, Spelt & Sesame - Lakehouse Foods",KG,1-0000288,1E+11,,01/02/19,25,2,50,,,,,,,
900,Lakehouse Foods,795,1026,"Crackers, Rye & Caraway - Lakehouse Foods",KG,1-0000287,1E+11,,01/02/19,25,2,50,,,,,,,
901,Lakehouse Foods,,,,,,,,01/02/19,,9,270,0,0,0,0,,,
901,Lakehouse Foods,796,1028,,,,,,01/02/19,,9,270,,,,,,,
