ID,Vendor name,Address line 1,Address used for distance calculation (Google Maps),City,Country,State,Zip code,Distance to Nada (1 Way) (km),Distance to Nada 2 ways (km)
125,Tayybeh,401 Industrial Ave,"Tayybeh, 401 Industrial Ave, Vancouver, BC V6G 2R7, Canada",Vancouver,Canada,BC,V6G 2R7,1.9,3.8
127,Biota Fermentation,,"BIOTA FERMENTATION, 3191 Thunderbird Crescent #111, Burnaby, BC V5A 3G1, Canada",,Canada,,,13.5,27
128,Solfeggio,,"Squamish, British Columbia, Canada",Whistler,Canada,,,75.7,151.4
130,Susgrainable Health Foods Inc.,,"Susgrainable Health Foods Inc, 1507 Powell St, Vancouver, BC V5L 5C3, Canada",,Canada,,,3.6,7.2
131,Golden Ears Cheese Crafters,22270 128 Ave.,"22270 128 Ave, Maple Ridge, BC V4R 2R1, Canada",Maple Ridge,Canada,BC,V4R 2R1,40.6,81.2
132,City Beet Farm,,"Riley Park–Little Mountain, Vancouver, BC, Canada",,USA,,,3.6,7.2
133,Two Rivers Specialty Meats,180 Donaghy Ave,"180 Donaghy Ave, North Vancouver, BC V7P 2L5, Canada",North Vancouver,Canada,B.C.,V7P 2L5,13.1,26.2
134,TMRW Foods,,"TMRW Foods, 1650 Broadway St #100, Port Coquitlam, BC V3C 2M8, Canada",Vancouver,Canada,BC,,27.9,55.8
135,Plantbase Food & Specialties,400 Industrial Ave.,"400 Industrial Ave, Vancouver, BC V6A 2P3, Canada",Vancouver,Canada,BC,V6A2P3,2,4
136,Sweet 'n Sassy Vegan Treats,5558 Marine Drive,"5558 Marine Dr, Burnaby, BC V5J 3G8, Canada",Burnaby,Canada,BC,V5J 3G8,12.2,24.4
137,Offbeat Produce,,"Burnaby, British Columbia, Canada",,USA,,,9.6,19.2
138,Satya Organic Skin Care,,"Vancouver, British Columbia, Canada",,USA,,,4.4,8.8
139,A Bread Affair,1680 Johnston St,"1680 Johnston St, Vancouver, BC V6H 3Y1, Canada",Vancouver,Canada,BC,V6H 3S2,4.8,9.6
140,Keegan’s Card Company,4664 Lancelot Court,"4664 Lancelot Ct, Richmond, BC V7C 4S2, Canada",Richmond,Canada,B.C.,,17.5,35
141,Purity Life Health Products LP,6 Commerce Crescent,"6 Commerce Crescent, Acton, ON L7J 2X3, Canada",Acton,Canada,ON,L7J 2X3,4157,8314
142,Leslie B,21530 Thornton Ave,,Maple Ridge,Canada,BC,V4R 2G8,,0
143,Cranberry Meadows,not in 2019 data,,,USA,,,,0
144,SPEC,,"2305 W 7th Ave, Vancouver, BC V6K 1Y4, Canada",,USA,,,5.2,10.4
